Word_No,Cluster,Language,Word
1,1,Hindi,
1,1,Russian,
1,1,Sanskrit,
1,2,French,la
1,2,Italian,ila
1,2,Spanish,la
1,3,English,the
1,4,German,das
1,5,Latin,quod
2,1,French,de
2,1,Spanish,de
2,2,English,of
2,3,German,fon
2,4,Hindi,ka
2,5,Italian,di
2,6,Latin,autem
2,7,Russian,iz
2,8,Sanskrit,
3,0,English,to
3,1,German,zu
3,2,Hindi,seva mere
3,3,Italian,aa
3,4,Latin,ut
3,5,Spanish,a
3,6,French,à
3,7,Russian,vey
3,8,Sanskrit,
4,1,French,et
4,1,Latin,et
4,2,English,and
4,3,German,unt
4,4,Hindi,tatha
4,5,Italian,a
4,6,Spanish,y
4,7,Russian,a takzhe
4,8,Sanskrit,tu
5,1,Russian,
5,1,Sanskrit,
5,2,French,une
5,2,Italian,un
5,2,Spanish,uno
5,3,English,a
5,4,German,ein
5,5,Hindi,e
5,6,Latin,autem
6,0,English,in
6,1,German,im
6,2,Hindi,mein
6,3,Italian,nela
6,4,Latin,apud
6,5,Spanish,en
6,6,French,dans
6,7,Russian,vey
6,8,Sanskrit,
7,1,English,is
7,1,German,is
7,1,Latin,is
7,2,French,est
7,2,Spanish,es
7,3,Hindi,hai
7,4,Italian,eh
7,5,Russian,yavlyayetsya
7,6,Sanskrit,
8,1,English,it
8,1,Latin,it
8,2,German,est
8,3,Hindi,yaha
8,4,Italian,isso
8,5,Spanish,eso
8,6,French,il
8,7,Russian,Eto
8,8,Sanskrit,
9,1,Italian,tu
9,1,Spanish,thu
9,2,French,vous
9,2,Latin,vos
9,3,English,you
9,4,German,zie
9,5,Hindi,aap
9,6,Russian,vy
9,7,Sanskrit,bhavantham
10,0,English,that
10,1,German,das
10,2,Hindi,us
10,3,Italian,quello
10,4,Latin,quod
10,5,Spanish,ese
10,6,French,cette
10,7,Russian,tot
10,8,Sanskrit,yath
11,0,English,he
11,1,German,er
11,2,Hindi,vah
11,3,Italian,lui
11,4,Latin,quod
11,5,Spanish,el
11,6,French,il
11,7,Russian,on
11,8,Sanskrit,
12,1,English,was
12,1,Latin,was
12,2,German,waar
12,3,Hindi,tha
12,4,Italian,era
12,5,Spanish,estaba
12,6,French,était
12,7,Russian,Bylo
12,8,Sanskrit,
13,1,Italian,pera
13,1,Spanish,para
13,2,English,for
13,3,German,zum
13,4,Hindi,ke liye
13,5,Latin,quia
13,6,French,pour
13,7,Russian,za
13,8,Sanskrit,hi
14,0,English,on
14,1,German,auf
14,2,Hindi,par
14,3,Italian,sopra
14,4,Latin,in
14,5,Spanish,en
14,6,French,sur
14,7,Russian,na
14,8,Sanskrit,
15,1,French,sont
15,1,Latin,sunt
15,1,Spanish,son
15,2,English,are
15,3,German,zind
15,4,Hindi,kar rahe hain
15,5,Italian,siamo
15,6,Russian,yavlyayutsya
15,7,Sanskrit,
16,1,Italian,con
16,1,Spanish,con
16,2,English,with
16,3,German,mit
16,4,Hindi,saath mein
16,5,Latin,apud
16,6,French,avec
16,7,Russian,sa
16,8,Sanskrit,sardham
17,1,French,comme
17,1,Italian,come
17,1,Spanish,como
17,2,English,as
17,3,German,wie
17,4,Hindi,jaisa
17,5,Latin,quod
17,6,Russian,kak
17,7,Sanskrit,
18,0,English,I
18,1,German,ish
18,2,Hindi,main
18,3,Italian,io
18,4,Latin,ego
18,5,Spanish,yo
18,6,French,je
18,7,Russian,ya
18,8,Sanskrit,
19,0,English,his
19,1,German,seina
19,2,Hindi,usake
19,3,Italian,il suo
19,4,Latin,eius
19,5,Spanish,su
19,6,French,le sien
19,7,Russian,yego
19,8,Sanskrit,
20,0,English,they
20,1,German,zie
20,2,Hindi,ve
20,3,Italian,essi
20,4,Latin,quod
20,5,Spanish,elyos
20,6,French,ils
20,7,Russian,Oni
20,8,Sanskrit,tah
21,0,English,be
21,1,German,zein
21,2,Hindi,hona
21,3,Italian,essere
21,4,Latin,quod
21,5,Spanish,ser
21,6,French,être
21,7,Russian,byt
21,8,Sanskrit,
22,1,Italian,a
